ID,Company,HQ_City,HQ_Country,Founded_Year,Age_Verified,Stage,Round_Size,Currency,Round_Date,Valuation_M,Lead_Investor,Other_Investors,Category,One_Liner,Source_URL,Source_Type,Screen_Score,Deep_Dive_YN
17,Aurelius Systems,,US,2024,YES,Seed,10,USD,2026,,,,Counter-UAS,Modular laser directed-energy systems to detect track and kill UAS at long range,https://www.cbinsights.com/company/aurelius-systems,Database,,
18,Askari,Atlanta,US,,TBV,Seed,9,USD,2026,,,,Counter-UAS,Hand-launched interceptors for frontline operators; order book past $2M,https://www.tectonicdefense.com/hand-launched-interceptor-startup-askari-raises-9m-seed/,Press,,
19,Mara,Boulder,US,,TBV,Pre-Seed,7,USD,2026-08,,Khosla Ventures,,Counter-UAS,Spike - man-portable container of dozens of small fast interceptors plus its own detection and cueing,https://www.tectonicdefense.com/exclusive-mara-raises-7m-pre-seed-for-mass-deployable-interceptors/,Press,,
20,Zerophase,,DE,,TBV,Seed,5.8,EUR,2026,,Blue Yard Capital,angels,EW,Data links hardened for electronic warfare environments,https://www.tectonicdefense.com/zerophase-scores-6-8m-seed-round/,Press,,
21,Worldscape.ai,,US,,TBV,Seed,6,USD,2026,,,,Other,Category not yet confirmed - verify before screening,https://www.tectonicdefense.com/exclusive-worldscape-ai-raises-6m-seed/,Press,,
22,Perseus Defense,Austin,US,,TBV,Seed,6,USD,2025,,,YC S2025,Counter-UAS,Man-portable counter-UAS platform using guided missile tech,https://www.tectonicdefense.com/exclusive-yc-backed-perseus-defense-closes-6m-seed-round/,Press,,
23,Maglut Heavy Industries,,US,,TBV,Pre-Seed,3.1,USD,2026-08,,,,Manufacturing,Chromatography-based platform to refine rare earth elements domestically,https://www.tectonicdefense.com/,Press,,
24,Occam Industries,,UA,,TBV,Pre-Seed,3,EUR,2026-02,,Presto Tech Horizons,,Other,Raised right after Brave1 integration approval in Ukraine,https://www.therecursive.com/occam-industries-raises-3m-pre-seed-brave1-ukraine/,Press,,
25,DoD Solution,,EE/UA,2023,YES,Pre-Seed,1.1,USD,2026-03,,Network.VC Defense,,Autonomy-Air,AURA onboard AI and single-board computers for UAVs in GPS-denied and EW environments,https://app.dealroom.co/news/feed/estonian-ukrainian-defence-tech-startup-dod-solution-secures-funding-from-network-vc-defense-in-1-1m-pre-seed-round,Database,,
26,Edgerun,San Francisco,US,,YC-S2026,Seed,,USD,2026,,,Y Combinator,Other,Military exoskeletons that assist soldiers under combat load,https://www.ycombinator.com/companies/industry/defense,VC-Portfolio,,
27,Vernius Systems,San Francisco,US,,YC-S2026,Seed,,USD,2026,,,Y Combinator,Missiles,Automates radar seeker engineering for interceptor missiles,https://www.ycombinator.com/companies/industry/defense,VC-Portfolio,,
28,Mass Magnetics,Boston,US,,YC-S2026,Seed,,USD,2026,,,Y Combinator,Manufacturing,DFARS-compliant permanent magnets made from recycled material,https://www.ycombinator.com/companies/industry/defense,VC-Portfolio,,
29,IMPACT Drones,San Francisco,US,,YC-S2026,Seed,,USD,2026,,,Y Combinator,Counter-UAS,Autonomous interceptor drones deployed from sealed containers,https://www.ycombinator.com/companies/industry/defense,VC-Portfolio,,
30,Earendil Robotics,San Francisco,US,,YC-S2026,Seed,,USD,2026,,,Y Combinator,Counter-UAS,Counter-UAS combining sensors and interceptors,https://www.ycombinator.com/companies/industry/defense,VC-Portfolio,,
31,Greypoint Industries,San Francisco,US,,YC-S2026,Seed,,USD,2026,,,Y Combinator,EW,Drone swarm that identifies geolocates and tracks every emitter,https://www.ycombinator.com/companies/industry/defense,VC-Portfolio,,
32,Isengard Industries,San Francisco,US,,YC-S2026,Seed,,USD,2026,,,Y Combinator,Manufacturing,Lets allied nations manufacture precision-strike systems domestically,https://www.ycombinator.com/companies/industry/defense,VC-Portfolio,,
33,Hop Aero,Los Angeles,US,,YC-S2026,Seed,,USD,2026,,,Y Combinator,Logistics,Rocket cargo vehicles for hypersonic delivery into contested areas,https://www.ycombinator.com/companies/industry/defense,VC-Portfolio,,
34,GUILD,New York,US,,YC-S2026,Seed,,USD,2026,,,Y Combinator,Manufacturing,AI-driven aerospace manufacturing for defence contracts,https://www.ycombinator.com/companies/industry/defense,VC-Portfolio,,
35,Arlo Industries,San Francisco,US,,YC-P2026,Seed,,USD,2026,,,Y Combinator,Sensors,Mesh network of sensors for tracking stealthy aerial threats,https://www.ycombinator.com/companies/industry/defense,VC-Portfolio,,
36,Surtr Defense Systems,San Francisco,US,,YC-P2026,Seed,,USD,2026,,,Y Combinator,Counter-UAS,Operating system fusing sensor data for counter-UAS operations,https://www.ycombinator.com/companies/industry/defense,VC-Portfolio,,
37,Tenet Industries,San Francisco,US,,YC-P2026,Seed,,USD,2026,,,Y Combinator,UAS-Strike,Low-cost mass-manufacturable strike drones and loitering munitions,https://www.ycombinator.com/companies/industry/defense,VC-Portfolio,,
38,AICE,San Francisco,US,,YC-P2026,Seed,,USD,2026,,,Y Combinator,Autonomy-Maritime,Autonomous marine drone swarms for naval asset protection,https://www.ycombinator.com/companies/industry/defense,VC-Portfolio,,
39,9 Mothers,Austin,US,,YC-P2026,Seed,,USD,2026,,,Y Combinator,Counter-UAS,Small low-power autonomous counter-drone system for vehicles bases or carry,https://www.ycombinator.com/companies/industry/defense,VC-Portfolio,,
40,Maquoketa Research,San Francisco,US,,YC-P2026,Seed,,USD,2026,,,Y Combinator,Other,No public description yet - verify,https://www.ycombinator.com/companies/industry/defense,VC-Portfolio,,
41,Seeing Systems,London,UK,,YC-W2026,Seed,,USD,2026,,,Y Combinator,UAS-Strike,Modular autonomous strike drones built to stay relevant as warfare evolves,https://www.ycombinator.com/companies/industry/defense,VC-Portfolio,,
42,Null Labs,San Francisco,US,,YC-F2025,Seed,,USD,2025,,,Y Combinator,Training-Sim,Simulation infrastructure for training autonomous defence systems,https://www.ycombinator.com/companies/industry/defense,VC-Portfolio,,
43,Icarus,Los Angeles,US,,YC-F2025,Seed,,USD,2025,,,Y Combinator,UAS-ISR,Autonomous solar aircraft loitering at 60000 feet for weeks,https://www.ycombinator.com/companies/industry/defense,VC-Portfolio,,
44,Albacore,Philadelphia,US,,YC-S2025,Seed,,USD,2025,,,Y Combinator,Autonomy-Maritime,Mass-producible long-range drone submarines,https://www.ycombinator.com/companies/industry/defense,VC-Portfolio,,
45,Conntour,Tel Aviv,IL,,YC-W2025,Seed,,USD,2025,,,Y Combinator,Sensors,Natural-language querying of video surveillance across thousands of cameras,https://www.ycombinator.com/companies/industry/defense,VC-Portfolio,,
46,Deepnight,San Francisco,US,,YC-W2024,Seed,,USD,2024,,,Y Combinator,Sensors,AI-based next-generation night vision,https://www.ycombinator.com/companies/industry/defense,VC-Portfolio,,
